EventDate,GroupName,SiteName,SiteID,site_latitude,site_longitude,site_altitude,colony_avg
2022-01-23 12:45:00,Upper Etowah Alliance AAS,unnamed tributary to Etowah River,2937,34.2412,-84.4902,264.92,0.0
2022-01-23 13:40:00,Upper Etowah Alliance AAS,Downing Creek at Barnett Park,7276,34.1987,-84.5315,283.62,0.0
2022-01-23 14:00:00,Upper Etowah Alliance AAS,Lake Allatoona - JD's by the Lake,7209,34.1638,-84.581,255.0,33.0
2022-01-23 14:30:00,Sierra Club Cobb Centennial Group,Rottenwood Creek,504,33.8805,-84.4513,234.42,300.0
2022-01-23 15:00:00,Ogeechee Riverkeeper,Little Lotts at corner of Zetterower and Fair rds.,7178,32.4351,-81.7822,61.53,33.0
2022-01-23 15:00:00,Ogeechee Riverkeeper,Little Lotts Creek-Zetterower Bridge,7295,32.4352,-81.7819,61.45,66.0
2022-01-23 15:45:00,Christine Brackenrich,Ludie Creek at Simpsonwood Park,7337,33.9827,-84.2436,273.91,0.0
2022-01-23 17:57:00,Good Guy Greg,Huddlestone Bridge Neighborhood stream,6884,34.0587,-84.6461,275.01,33.0
2022-01-23 21:47:00,Upper Etowah Alliance AAS,tributary to Canton Creek,2473,34.2321,-84.4906,263.493622,133.0
2022-01-25 09:30:00,Satilla Riverkeeper & Friends,Creek near Paloma Drive,7407,31.2161,-81.968,20.37,0.0
2022-01-25 17:33:00,Bent Tree StreamKeepers,Mulligans Creek,5485,34.4887,-84.366,460.34,0.0
2022-01-25 18:00:00,Bent Tree StreamKeepers,Long Swamp Creek at Beaver Run Trail,5483,34.5009,-84.3619,468.73,0.0
2022-01-25 18:04:00,Bent Tree StreamKeepers,Coffey Cove Creek,5486,34.4962,-84.3604,461.97,33.0
2022-01-25 18:07:00,Bent Tree StreamKeepers,lower Sallie Doss Stream,7249,34.4947,-84.3629,463.7,133.0
2022-01-26 12:41:00,Willeo Watershed Alliance of Loch Highland,Willeo Creek,723,34.0471,-84.4341,301.993286,0.0
2022-01-26 13:30:00,Mighty Mustangs,Proctor Creek,7349,34.0518,-84.6616,261.34,33.0
2022-01-26 17:16:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,0.0
2022-01-26 17:20:00,McCleskey Middle School,Tributary to Rubes Creek,692,34.0467,-84.5057,306.038391,300.0
2022-01-27 09:15:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,33.0
2022-01-27 09:50:00,WWALS_Watershed Coalition,"Withlacoochee River at Hagan Bridge, GA-122",6602,31.0133,-83.3017,46.46,133.0
2022-01-27 10:00:00,Upper Chattahoochee Trout Unlimited,Ball Mill Creek,2368,33.9787,-84.3208,268.422729,0.0
2022-01-27 10:40:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,33.0
2022-01-28 10:10:00,AAAS Stream Stompers,Hollow Creek 2,954,33.3434,-81.8222,39.512642,33.0
2022-01-28 10:47:00,AAAS Stream Stompers,Hollow Creek 1,953,33.3345,-81.8534,35.055412,33.0
2022-01-28 14:00:00,GSW Sciences,Muckalee Creek at Three Bridges Road,5404,31.9394,-84.2084,87.54,33.0
2022-01-28 14:35:00,Upper Etowah Alliance AAS,Settingdown Creek,7198,34.2955,-84.2651,291.81,0.0
2022-01-29 09:36:00,Upper Chattahoochee Trout Unlimited,Crooked Creek,2370,33.9472,-84.2293,285.93338,66.0
2022-01-29 10:30:00,East Point Environmental Collective,South River in Jefferson Park,6764,33.6877,-84.4264,300.19,66.0
2022-01-29 10:40:00,Upper Chattahoochee Trout Unlimited,Marlborough Creek,2372,33.9819,-84.3103,266.704529,0.0
2022-01-29 12:50:00,Upper Etowah Alliance AAS,Canton Creek,3721,34.2458,-84.3617,344.02,66.0
2022-01-29 14:00:00,Upper Etowah Alliance AAS,Lewis Park creek - tributary to Lake Allatoona,6963,34.1526,-84.5827,264.25,200.0
2022-01-29 14:30:00,Whitefield Academy 1,Nickajack Creek,6819,33.8263,-84.5114,238.21,50.0
2022-01-30 10:30:00,Troco5,Mud Creek along Greycoat Bluff,5333,33.9444,-84.6356,286.97,100.0
2022-01-31 11:30:00,Flint Riverkeeper,Skywater Creek,5356,31.5202,-84.14,51.93,33.0
2022-01-31 12:00:00,Flint Riverkeeper,Radium Springs,5357,31.5202,-84.14,51.93,33.0
2022-01-31 13:30:00,Mighty Mustangs,Proctor Creek,7329,34.0528,-84.6341,277.33,33.0
2022-01-31 13:50:00,Piedmont University,Camp Creek,1858,34.5674,-83.5397,397.217072,66.0
2022-01-31 15:20:00,Upper Etowah Alliance AAS,Canton Creek,1235,34.2298,-84.4918,262.24,666.0
2022-02-01 10:30:00,Yellow River Water Trail-Gwinnett,Yellow River-Ross Rd/Vecoma,3838,33.8301,-84.0814,243.51,33.0
2022-02-01 11:30:00,Yellow River Water Trail-Gwinnett,Yellow River - Norris Lake Dr.,6829,33.7587,-84.0479,220.33,0.0
2022-02-01 11:30:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,0.0
2022-02-01 11:30:00,Yellow River Water Trail-Gwinnett,Yellow River at Pleasant Hill Rd bridge,7333,33.7336,-84.0614,215.48,0.0
2022-02-01 12:30:00,Thompsonc,Yellow River,3117,33.8486,-84.0855,243.801,0.0
2022-02-01 13:00:00,Yellow River Water Trail-Gwinnett,Yellow River-Five Forks Trickum Bridge,3979,33.8738,-84.0836,254.84,133.0
2022-02-01 13:27:00,Lilly Vicens,Bennett Creek,7176,34.0216,-84.0863,289.38,33.0
2022-02-01 13:30:00,Yellow River Water Trail-Gwinnett,Watson Creek at Rivermist Dr,5362,33.861,-84.0722,254.46,33.0
2022-02-01 14:00:00,MOST (Madison-Oglethorpe Stream Team),Gina's Creek,7146,34.0361,-83.1714,180.43,100.0
2022-02-02 09:30:00,Anne Ledbetter,Poplar Creek,2500,33.8797,-84.4948,291.483276,266.0
2022-02-02 14:49:00,Fernandina Beach High School,Egan's Creek Greenway 1,5202,30.6666,-81.4406,-0.58,400.0
2022-02-02 14:54:00,Fernandina Beach High School,Egan's Creek Greenway 2,5203,30.6587,-81.4419,-0.41,200.0
2022-02-02 17:30:00,Stone Mountain Park Education Department,Beaver Creek,2443,33.8143,-84.1601,275.858246,66.0
2022-02-03 09:00:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,0.0
2022-02-03 09:00:00,WWALS_Watershed Coalition,"Withlacoochee River at Hagan Bridge, GA-122",6602,31.0133,-83.3017,46.46,66.0
2022-02-03 09:00:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,33.0
2022-02-03 12:36:00,WWALS_Watershed Coalition,Withlacoochee River - Knights Ferry Boat Ramp,6567,30.7121,-83.4556,30.78,0.0
2022-02-03 12:36:00,WWALS_Watershed Coalition,Withlacoochee River - Knights Ferry Boat Ramp,6567,30.7121,-83.4556,30.78,0.0
2022-02-03 13:11:00,WWALS_Watershed Coalition,Withlacoochee River - Nankin Boat Ramp,6566,30.6748,-83.3943,22.08,33.0
2022-02-03 13:45:00,WWALS_Watershed Coalition,Withlacoochee River at State Line Boat Ramp (GA 31),6594,30.6356,-83.3112,17.45,33.0
2022-02-03 13:45:00,WWALS_Watershed Coalition,Withlacoochee River at State Line Boat Ramp (GA 31),6594,30.6356,-83.3112,17.45,33.0
2022-02-05 10:05:00,Middle Savannah River Sentinels,Reed Creek at Sandlewood Drive,5166,33.4991,-82.1208,105.92,633.0
2022-02-05 10:20:00,Middle Savannah River Sentinels,Upper Reed Creek,4871,33.5103,-82.1122,94.74,200.0
2022-02-05 12:05:00,Middle Savannah River Sentinels,Reed Creek,975,33.5352,-82.0838,69.33,300.0
2022-02-05 13:30:00,Birdsong Subdivision,Cobbs Creek at Alverado Way,7342,33.7484,-84.2546,275.44,340.0
2022-02-05 17:00:00,anna jones,sherwood creek,7208,34.1078,-83.8994,281.52,166.0
2022-02-07 13:45:00,Chemours,Buffalo Creek,3717,31.1197,-81.9515,8.08,33.0
2022-02-07 13:45:00,Chemours,Little Satilla,3718,31.3511,-82.0336,15.0,66.0
2022-02-09 09:35:00,Middle Savannah River Sentinels,Rae's Creek,3090,33.4784,-82.0706,86.62,0.0
2022-02-09 09:35:00,Lake Sovereign,Lake Sovereign - CHD,6866,34.1628,-84.5329,273.27,33.0
2022-02-09 10:50:00,Middle Savannah River Sentinels,Upper Reed Creek,4871,33.5103,-82.1122,94.74,133.0
2022-02-09 11:00:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,50.0
2022-02-09 13:04:00,Middle Savannah River Sentinels,Kiokee Creek,5348,33.5765,-82.2792,71.0,100.0
2022-02-09 13:40:00,Middle Savannah River Sentinels,Upper Kiokee Creek,7317,33.5417,-82.3151,86.62,100.0
2022-02-10 08:50:00,Middle Savannah River Sentinels,Butler Creek,2402,33.4088,-82.0796,61.09,33.0
2022-02-10 09:00:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,0.0
2022-02-10 09:15:00,WWALS_Watershed Coalition,"Withlacoochee River at Hagan Bridge, GA-122",6602,31.0133,-83.3017,46.46,233.0
2022-02-10 09:30:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,0.0
2022-02-10 13:30:00,Mighty Mustangs,Proctor Creek,7349,34.0518,-84.6616,261.34,66.0
2022-02-10 15:13:00,John Stephan,Brushy Creek near Chattahoochee River confluence,7194,34.041,-84.1066,275.16,100.0
2022-02-10 15:37:00,WWALS_Watershed Coalition,Withlacoochee River - Knights Ferry Boat Ramp,6567,30.7121,-83.4556,30.78,66.0
2022-02-10 16:04:00,WWALS_Watershed Coalition,Withlacoochee River - Nankin Boat Ramp,6566,30.6748,-83.3943,22.08,66.0
2022-02-10 16:51:00,WWALS_Watershed Coalition,Withlacoochee River at State Line Boat Ramp (GA 31),6594,30.6356,-83.3112,17.45,33.0
2022-02-11 09:50:00,Jackson Lake Homeowners Association,South River North of Hwy 36 Bridge SRB-36,3306,33.3952,-83.8941,160.608994,0.0
2022-02-11 10:05:00,Jackson Lake Homeowners Association,Yellow River North of hwy 36 Bridge,3324,33.4101,-83.88,163.816528,0.0
2022-02-11 10:35:00,Jackson Lake Homeowners Association,Rocky Creek,5197,33.3975,-83.8216,161.0,33.0
2022-02-11 11:00:00,Jackson Lake Homeowners Association,Alcovy River at FFA Camp,3951,33.4338,-83.8231,161.0,0.0
2022-02-11 11:40:00,Jackson Lake Homeowners Association,Scout Island,4617,33.3272,-83.8436,161.0,33.0
2022-02-11 13:05:00,Jackson Lake Homeowners Association,Tussahaw Creek at Blackberry Rd,5057,33.3717,-83.9091,161.0,0.0
2022-02-11 14:45:00,Stephen Thomas,Noses Creek at Silver Comet Trail,5204,33.8568,-84.6544,270.38,366.0
2022-02-11 15:11:00,Weatherstone Subdivision,Tributary of Little River Near Weatherstone,6946,34.0916,-84.4749,272.96,66.0
2022-02-11 16:00:00,Weatherstone Subdivision,Tributary of Little River Near Weatherstone,6947,34.0917,-84.4755,282.95,0.0
2022-02-12 07:30:00,Butler Creek Kennesaw,Southern Tributary of Butler Creek,2006,34.0097,-84.6272,307.337158,166.0
2022-02-12 09:00:00,Butler Creek Kennesaw,Butler Creek @ Mack Dobbs Road,5503,34.0172,-84.6429,305.35,166.0
2022-02-12 10:30:00,Butler Creek Kennesaw,Proctor Creek at Legacy Park Amphitheater,6752,34.0521,-84.6356,286.12,33.0
2022-02-12 10:50:00,High Falls Lake Association,Brushy Creek,1386,33.1887,-84.0333,181.49,33.0
2022-02-12 11:15:00,High Falls Lake Association,Light Line,1390,33.1925,-84.0245,190.4,66.0
2022-02-12 11:40:00,High Falls Lake Association,Mid Lake [High Falls Lake],1389,33.1992,-84.0317,190.73,0.0
2022-02-12 12:00:00,Tapestry Community,Entrenchment Beaver Pond,3825,33.7276,-84.3613,272.67,233.0
2022-02-12 12:30:00,Tapestry Community,Intrenchment creek,1429,33.7278,-84.3611,272.65,166.0
2022-02-12 12:30:00,Hales Trace,Hale Creek,7205,33.8622,-84.1106,261.94,100.0
2022-02-12 13:00:00,River Runners of Ball Ground,Etowah at River House near Airport Dr,6745,34.2969,-84.41,279.23,0.0
2022-02-12 13:00:00,River Runners of Ball Ground,Creek at River House near Airport Dr,6750,34.2966,-84.4107,276.53,0.0
2022-02-12 15:30:00,Upper Etowah Alliance AAS,Lake Allatoona - JD's by the Lake,7209,34.1638,-84.581,255.0,0.0
2022-02-12 16:00:00,Earth First,Noonday Creek south of New Chastain Rd.,4967,34.0331,-84.5392,276.74,100.0
2022-02-12 17:30:00,anna jones,sherwood creek,7208,34.1078,-83.8994,281.52,166.0
2022-02-12 22:00:00,High Falls Lake Association,Buck Creek,1385,33.1848,-84.0333,181.93,0.0
2022-02-13 07:10:00,kecb,Broad River at Anthony Shoals,5157,33.9921,-82.6548,112.99,33.0
2022-02-13 08:15:00,Riffle Beetles,Broad River-Briar's Landing,6680,34.074,-83.0043,128.63,33.0
2022-02-13 10:09:00,Riffle Beetles,Scull Shoals at David Homes Church Road,5350,34.1566,-83.1001,164.57,333.0
2022-02-13 10:15:00,Riffle Beetles,Mill Shoal Creek at King Hall Mill Rd,5298,34.1589,-83.0657,158.44,66.0
2022-02-13 15:50:00,Whitefield Academy 1,Nickajack Creek,6819,33.8263,-84.5114,238.21,25.0
2022-02-13 17:10:00,Ogeechee Riverkeeper,Fifteenmile Creek,3887,32.3919,-82.0145,47.22,33.0
2022-02-13 17:45:00,Ogeechee Riverkeeper,Canoochee River,3889,32.3835,-82.1284,50.24,66.0
2022-02-14 13:30:00,Mighty Mustangs,Proctor Creek,7329,34.0528,-84.6341,277.33,66.0
2022-02-15 10:15:00,Upper Chattahoochee Trout Unlimited,Ball Mill Creek,2368,33.9787,-84.3208,268.422729,33.0
2022-02-16 13:00:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,0.0
2022-02-16 13:30:00,TRGT,Middle Creek at TN River,5007,35.1186,-85.3742,196.93,33.0
2022-02-16 15:45:00,Martins,Yellow River,3800,33.8792,-84.0784,251.07,33.0
2022-02-17 09:00:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,0.0
2022-02-17 09:00:00,WWALS_Watershed Coalition,"Withlacoochee River at Hagan Bridge, GA-122",6602,31.0133,-83.3017,46.46,0.0
2022-02-17 09:00:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,33.0
2022-02-17 12:35:00,WWALS_Watershed Coalition,Withlacoochee River - Knights Ferry Boat Ramp,6567,30.7121,-83.4556,30.78,33.0
2022-02-17 13:23:00,WWALS_Watershed Coalition,Withlacoochee River - Nankin Boat Ramp,6566,30.6748,-83.3943,22.08,0.0
2022-02-17 14:15:00,WWALS_Watershed Coalition,Withlacoochee River at State Line Boat Ramp (GA 31),6594,30.6356,-83.3112,17.45,0.0
2022-02-18 21:30:00,West Fannin Yellow Jackets,West Fannin Stream,4915,34.9243,-84.38,565.98,33.0
2022-02-19 11:00:00,Sierra Club Cobb Centennial Group,Rottenwood Creek,704,33.9284,-84.4833,281.720856,66.0
2022-02-19 11:00:00,Clean and Beautiful,Level Creek near Gold Mine Dr,6887,34.093,-84.0494,313.4,200.0
2022-02-19 11:40:00,Clean and Beautiful,Level Creek - Crystal Downs Way,7345,34.0961,-84.0671,305.18,33.0
2022-02-19 12:13:00,Clean and Beautiful,Level Creek - Brighton Rose Ln,7346,34.1045,-84.0767,303.26,33.0
2022-02-19 13:30:00,Jackson Feeder Creek,Jackson feeder creek,7216,33.8893,-84.1842,301.67,366.0
2022-02-19 14:30:00,anna jones,sherwood creek,7208,34.1078,-83.8994,281.52,66.0
2022-02-19 15:00:00,WesNettleton,Big Haynes Creek at Hillisde Commons,5414,33.8995,-83.9864,297.06,166.0
2022-02-19 18:00:00,Good Guy Greg,Huddlestone Bridge Neighborhood stream,6884,34.0587,-84.6461,275.01,0.0
2022-02-20 07:15:00,GSW Sciences,Muckalee Creek at McLittle Bridge Rd,7175,32.0067,-84.2266,95.07,266.0
2022-02-20 10:00:00,Gwinnett County Sierra Club,Suwanee Creek,1203,34.0451,-84.0643,284.640991,100.0
2022-02-20 11:00:00,Ogeechee Riverkeeper,Little Lotts at corner of Zetterower and Fair rds.,7178,32.4351,-81.7822,61.53,133.0
2022-02-20 11:00:00,Ogeechee Riverkeeper,Little Lotts Creek-Zetterower Bridge,7295,32.4352,-81.7819,61.45,33.0
2022-02-20 14:15:00,Village North Highlands Subdivision,Tributary of Willeo Creek,2461,34.0458,-84.4361,303.690002,66.0
2022-02-20 16:12:00,"Bet Haverim, Haverim Beyachad ",South Fork Peachtree Creek,1180,33.8044,-84.293,273.74704,33.0
2022-02-22 14:00:00,Fran Darnall,Shoal Creek at Rhodes Jordan Park,7335,33.958,-83.9795,301.94,266.0
2022-02-23 09:30:00,Flint Riverkeeper,Radium Springs,5357,31.5202,-84.14,51.93,0.0
2022-02-23 12:30:00,TRGT,Suck Creek Junction,4305,35.1457,-85.3882,342.25,33.0
2022-02-23 14:15:00,TRGT,Mullens Creek ,4313,35.1389,-85.4361,433.92,33.0
2022-02-23 23:00:00,TRGT,Middle Creek at TN River,5007,35.1186,-85.3742,196.93,633.0
2022-02-23 23:45:00,TRGT,Edwards Point North,5005,35.1485,-85.3781,548.83,333.0
2022-02-24 08:45:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,100.0
2022-02-24 09:40:00,WWALS_Watershed Coalition,"Withlacoochee River at Hagan Bridge, GA-122",6602,31.0133,-83.3017,46.46,0.0
2022-02-24 10:15:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,66.0
2022-02-25 11:11:00,East Point Environmental Collective,South River in Jefferson Park,6764,33.6877,-84.4264,300.19,400.0
2022-02-26 09:10:00,Upper Chattahoochee Trout Unlimited,Crooked Creek,2370,33.9472,-84.2293,285.93338,200.0
2022-02-26 10:08:00,Upper Chattahoochee Trout Unlimited,Marlborough Creek,2372,33.9819,-84.3103,266.704529,33.0
2022-02-26 11:30:00,Sierra Club Cobb Centennial Group,Rottenwood Creek,504,33.8805,-84.4513,234.42,166.0
2022-02-26 13:00:00,Underwood Hills AaS,up stream Trib of Peachtree Creek,6932,33.8055,-84.4172,267.0,266.0
2022-02-26 14:38:00,Christine Brackenrich,Ludie Creek at Simpsonwood Park,7337,33.9827,-84.2436,273.91,0.0
2022-02-26 15:20:00,Whitefield Academy 1,Nickajack Creek,6819,33.8263,-84.5114,238.21,150.0
2022-02-27 14:50:00,Little Tennessee River Watershed,Rabbit Creek Tributary,7223,35.2112,-83.3252,667.03,33.0
2022-02-27 19:37:00,Upper Etowah Alliance AAS,Canton Creek,3721,34.2458,-84.3617,344.02,466.0
2022-02-28 09:45:00,AAAS Stream Stompers,Hollow Creek 2,954,33.3434,-81.8222,39.512642,100.0
2022-02-28 10:20:00,AAAS Stream Stompers,Hollow Creek 1,953,33.3345,-81.8534,35.055412,0.0
